vazio;vazio;221964
vazio;vazio;114742 
vazio;vazio;16033  
vazio;vazio;205351 
vazio;vazio;266340 
vazio;vazio;22544  
vazio;vazio;174069 
vazio;vazio;74146  
vazio;vazio;163120 
vazio;vazio;44855  
vazio;vazio;46086  
vazio;vazio;10816  
vazio;vazio;28894  
vazio;vazio;66260  
vazio;vazio;47528  
vazio;vazio;52761  
vazio;vazio;251638 
vazio;vazio;28238  
vazio;vazio;268107 
vazio;vazio;182010 
vazio;vazio;36502  
vazio;vazio;52209  
vazio;vazio;146618 
vazio;vazio;194052 
vazio;vazio;177639 
vazio;vazio;253814 
vazio;vazio;88587  
vazio;vazio;131035 
vazio;vazio;249539 
vazio;vazio;115970 
vazio;vazio;21758  
vazio;vazio;7331   
vazio;vazio;31625  
vazio;vazio;41547  
vazio;vazio;201154 
vazio;vazio;54957  
vazio;vazio;56778  
vazio;vazio;213875 
vazio;vazio;41029  
vazio;vazio;42326  
vazio;vazio;235810 
vazio;vazio;107191 
vazio;vazio;246829 
vazio;vazio;20526  
vazio;vazio;266372 
vazio;vazio;31987  
vazio;vazio;230444 
vazio;vazio;191476 
vazio;vazio;156544 
vazio;vazio;48866  
vazio;vazio;209131 
vazio;vazio;72765  
vazio;vazio;209596 
vazio;vazio;240532  
vazio;vazio;229141  
vazio;vazio;217257  
vazio;vazio;221405  
vazio;vazio;143474  
vazio;vazio;164431  
vazio;vazio;248226  
vazio;vazio;173893  
vazio;vazio;26910   
vazio;vazio;256947  
vazio;vazio;35705   
vazio;vazio;122907  
vazio;vazio;30682   
vazio;vazio;76264   
vazio;vazio;28779   
vazio;vazio;40139   
vazio;vazio;47293   
vazio;vazio;40204   
vazio;vazio;34349   
vazio;vazio;235765  
vazio;vazio;10941   
vazio; vazio;56863
